SITE_ID,TOWER_TX,TOWER_RX,BANDWIDTH,
33805,928.1375,852.1375,25,
33806,865.2875,820.2875,25, 
33806,865.7875,820.7875,25, 
33806,866.2875,821.2875,25, 
33806,867.2875,822.2875,25, 
33806,868.2875,823.2875,25, 
33806,869.2875,824.2875,25, 
33806,930.5,854.5,200, 
33809,848.8,,200,
33809,848.2,,400, 
33809,847.4,,400, 
33822,852.2375,,25, 
33822,928.2125,852.2125,25, 
33825,846.6,,200,
33825,847.2,,200,
33825,847.8,,200,
33826,865.3375,820.3375,25, 
33826,866.3375,821.3375,25, 
33826,867.3375,822.3375,25, 
33826,868.3375,823.3375,25, 
33852,846.6,,200,
33852,847.2,,200,
33852,847.8,,200,
33881,852.2375,928.2375,25,
33881,852.2375,,25, 
33881,852.2375,,25, 
33881,852.2375,,25, 
33881,852.2375,,25, 
33881,852.2375,,25, 
33881,852.2375,,25, 
33881,852.1375,928.1375,25,
33881,852.4375,928.4375,25,
33881,852.8875,928.8875,25,
33881,852.1625,928.1625,25,
33881,852.4125,928.4125,25, 
33881,854.3,930.3,200, 
33884,852.2125,928.2125,25, 
33884,852.2875,928.2875,25, 
33884,855.9,931.9,200, 
33909,865.2125,820.2125,25, 
33909,865.7125,820.7125,25, 
33909,866.2125,821.2125,25, 
33909,867.2125,822.2125,25, 
33909,868.2125,823.2125,25, 
33909,869.2125,824.2125,25, 
33909,930.9,854.9,200, 
33913,860.9125,,25,
33913,860.9125,,25,
33913,852.2375,,25, 
33913,860.9125,,25, 
33913,860.9125,,25, 
33913,860.9125,,25, 
33913,860.9125,,25, 
33913,860.9125,,25, 
33913,928.8875,852.8875,25,
33913,804.4125,849.4125,25,
33913,804.5625,849.5625,25,
33913,804.6375,849.6375,25,
33950,865.0375,820.0375,25, 
33950,866.0375,821.0375,25, 
33950,867.0375,822.0375,25, 
33950,868.0375,823.0375,25, 
33950,869.0375,824.0375,25, 
33950,869.7625,824.7625,25, 
33950,931.3,855.3,200, 
33951,865.8375,820.8375,25, 
